Link name,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,COM Length
left femur,0.00071542,-0.00003985,-2.30E-07,0.00059673,3.98E-05,0.00070541,0.05684205
left tibiotarsus,0.02064923,-0.00014117,-1.01E-04,0.00273037,3.81E-05,0.02119796,0.099785538
left tarsometatarsus,0.01137331,0.00043587,8.35E-05,0.00072894,-6.50E-04,0.01124594,0.103988063
left toe,0.00003263,0.00000272,0.00E+00,0.00021927,0.00E+00,0.00024164,0.031995294
right femur,0.00070542,0.00003979,0.00000023,0.00059674,0.00003985,0.00071541,0.05684205
right tibiotarsus,0.02065098,-0.00014118,0.00010071,0.00273211,-3.27E-05,0.02119796,0.099785538
right tarsometatarsus,0.0113733,0.00043577,-0.00008369,0.00072841,6.46E-04,0.0112465,0.103988063
right toe,0.00003263,0.00000272,0,0.00021927,0.00E+00,0.00024164,0.031995294
