Link name,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,COM Length
left femur,0.00171768,-0.00002755,8.00E-08,0.00059755,6.56E-05,0.00170715,0.05684205
left tibiotarsus,0.04929638,-0.00035252,-9.98E-05,0.00273259,-1.00E-04,0.049846,0.099785538
left tarsometatarsus,0.01566766,-0.0006535,-7.80E-05,0.00110374,-2.71E-05,0.01573035,0.103988063
left toe,0.00014717,-0.0000282,0.00E+00,0.00022762,0.00E+00,0.00036453,0.031995294
right femur,0.00171768,-0.00002755,-0.00000008,0.00059755,-0.00006558,0.00170716,0.05684205
right tibiotarsus,0.04929797,-0.00035253,0.00009983,0.00273416,8.58E-05,0.04984603,0.099785538
right tarsometatarsus,0.01565977,-0.0006516,0.00007816,0.00110326,2.17E-05,0.01572201,0.103988063
right toe,0.00014717,-0.0000282,0,0.00022762,0.00E+00,0.00036453,0.031995294
