Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,0.0014668,-0.047188,0.07617,0,0,0,3.7031,0.0042957,3.0328E-09,-2.3333E-06,0.0033547,-8.3206E-06,0.0059126,0,0,0,0,0,0,package://spryped rev03/meshes/body.STL,1,1,1,1,0,0,0,0,0,0,package://spryped rev03/meshes/body.STL,,"SPRYDRIVE ASSEMBLY REV05-1;LIPO BATTERY, 5AH 6S 60C-2;LIPO BATTERY, 5AH 6S 60C-1;SQUARE TUBE, CFRP - 22X22X20X300-1;SQUARE TUBE, CFRP - 22X22X20X300-2;HIP BRACKET REV02-1;HIP BRACKET REV02-2;SPRYDRIVE ASSEMBLY REV05-5;MID CONNECTOR REV01-1;BODY PLATE REV01-1;94868A016_18-8 SS FEM THRDED HEX STANDOFF-1;94868A016_18-8 SS FEM THRDED HEX STANDOFF-2;94868A016_18-8 SS FEM THRDED HEX STANDOFF-3;94868A016_18-8 SS FEM THRDED HEX STANDOFF-4",origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left femur,0.0014637,0.050952,-0.056842,0,0,0,0.30999,0.00069104,-9.483E-08,3.5642E-05,0.00070116,3.5726E-05,0.00059024,0,0,0,0,0,0,package://spryped rev03/meshes/left femur.STL,1,1,1,1,0,0,0,0,0,0,package://spryped rev03/meshes/left femur.STL,,FEMUR REV01-1;91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-16;91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-22;91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-23;91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-24;91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-25;91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-26;91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-27;91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-17;91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-18;91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-20;91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-19;91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-21,Coordinate System1,Axis1,1,revolute,0.145467828474498,-0.103472193336681,0.055903737730272,0,0,0,body,0,-1,0,0,0,0,0,,,,,,,,
left tibiotarsus,0.049213,0.053539,-0.084279,0,0,0,2.8777,0.0053353,7.3556E-08,-1.1074E-07,0.003496,0.0014827,0.0022585,0,0,0,0,0,0,package://spryped rev03/meshes/left tibiotarsus.STL,1,1,1,1,0,0,0,0,0,0,package://spryped rev03/meshes/left tibiotarsus.STL,,SPRYDRIVE TRIPLE ASSEMBLY REV01-1;ANKLE LINK REV01-2;91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-7;TRANSFER LINK REV01-1;91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-13;91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-8;91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-9;91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-10;91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-11;91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-12,Coordinate System2,Axis2,2,revolute,-0.0496499999999997,0.0516500000000001,-0.114,0,0,0,left femur,-1,0,0,0,0,0,0,,,,,,,,
left tarsometatarsus,0.065339,0.0041021,-0.10795,0,0,0,0.38643,0.0015965,3.4483E-05,-3.1686E-05,0.00151,-0.00031081,0.00055388,0,0,0,0,0,0,package://spryped rev03/meshes/left tarsometatarsus.STL,1,1,1,1,0,0,0,0,0,0,package://spryped rev03/meshes/left tarsometatarsus.STL,,"SQUARE TUBE, CFRP - 22X22X20X500-1;688-2RS BEARING SEALED 8x16x5-1;TOE JOINT REV01-1;TOE JOINT REV01-2;ANKLE JOINT REV01-1;688-2RS FLANGED BEARING SEALED 8x16x5-1;5909K295_THRUST NEEDLE-ROLLER BEARING-1;5909K300_THRUST NEEDLE-ROLLER BEARING-1;90592A016_STEEL HEX NUT-1;96445K350_BELLEVILLE DISC SPRING-1;TOE LINK REV01-1;5909K295_THRUST NEEDLE-ROLLER BEARING-2;92981A201_ALLOY STEEL SHOULDER SCREW-1;91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-14;91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-15;91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-16;91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-17;91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-18",Coordinate System3,Axis3,3,revolute,-0.000500000000000944,0.105453933582409,-0.168761571135128,0,0,0,left tibiotarsus,-1,0,0,0,0,0,0,,,,,,,,
left toe,0.0055,0.024654,-0.037699,0,0,0,0.11189,0.00021756,-7.6214E-13,8.8251E-14,3.2605E-05,-1.9901E-06,0.00019521,0,0,0,0,0,0,package://spryped rev03/meshes/left toe.STL,1,1,1,1,0,0,0,0,0,0,package://spryped rev03/meshes/left toe.STL,,TOE REV01-1;59935K820_METRIC BALL-2,Coordinate System4,Axis4,4,revolute,0.0444000000000008,-0.122958145890606,-0.482725854452568,0,0,0,left tarsometatarsus,-1,0,0,0,0,0,0,,,,,,,,
right femur,-0.0014638,0.050952,-0.056842,0,0,0,0.30999,0.00069104,9.5179E-08,-3.5642E-05,0.00070116,3.5726E-05,0.00059025,0,0,0,0,0,0,package://spryped rev03/meshes/right femur.STL,1,1,1,1,0,0,0,0,0,0,package://spryped rev03/meshes/right femur.STL,,91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-68;MirrorFEMUR REV01-4;91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-72;91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-76;91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-77;91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-78;91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-79;91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-80;91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-81;91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-82;91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-83;91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-84;91290A150_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-85,Coordinate System5,Axis5,5,revolute,-0.1425321715255,-0.103472193336681,0.0559037377302649,0,0,0,body,0,-1,0,0,0,0,0,,,,,,,,
right tibiotarsus,-0.049249,0.053502,-0.084231,0,0,0,2.8758,0.0053353,-7.128E-08,1.2222E-07,0.0034959,0.0014827,0.0022585,0,0,0,0,0,0,package://spryped rev03/meshes/right tibiotarsus.STL,1,1,1,1,0,0,0,0,0,0,package://spryped rev03/meshes/right tibiotarsus.STL,,91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-74;ANKLE LINK REV01-6;TRANSFER LINK REV01-5;SPRYDRIVE TRIPLE ASSEMBLY - RIGHT REV01-1;91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-82;91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-83;91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-84;91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-85;91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-86,Coordinate System6,Axis6,6,revolute,0.04965,0.0516500000000001,-0.114,0,0,0,right femur,1,0,0,0,0,0,0,,,,,,,,
right tarsometatarsus,-0.065487,0.0044219,-0.10734,0,0,0,0.38839,0.0015965,-3.4579E-05,3.1581E-05,0.001512,-0.00030783,0.00055199,0,0,0,0,0,0,package://spryped rev03/meshes/right tarsometatarsus.STL,1,1,1,1,0,0,0,0,0,0,package://spryped rev03/meshes/right tarsometatarsus.STL,,"TOE JOINT REV01-9;TOE JOINT REV01-10;688-2RS FLANGED BEARING SEALED 8x16x5-5;MirrorANKLE JOINT REV01-5;688-2RS BEARING SEALED 8x16x5-5;91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-77;91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-78;91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-79;91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-80;91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-81;SQUARE TUBE, CFRP - 22X22X20X500-7;91290A148_BLACK-OXIDE CLASS 12.9 SOCKET HEAD CAP SCREW-69;96445K350_BELLEVILLE DISC SPRING-5;90592A016_STEEL HEX NUT-5;92981A201_ALLOY STEEL SHOULDER SCREW-5;5909K300_THRUST NEEDLE-ROLLER BEARING-5;5909K295_THRUST NEEDLE-ROLLER BEARING-10;5909K295_THRUST NEEDLE-ROLLER BEARING-9;TOE LINK REV01-5",Coordinate System7,Axis7,7,revolute,0.000500000000003886,0.105453933582128,-0.168761571135296,0,0,0,right tibiotarsus,1,0,0,0,0,0,0,,,,,,,,
right toe,-0.016,0.0086389,-0.031995,0,0,0,0.11189,0.00021756,-7.6214E-13,8.8251E-14,3.2605E-05,-1.9901E-06,0.00019521,0,0,0,0,0,0,package://spryped rev03/meshes/right toe.STL,1,1,1,1,0,0,0,0,0,0,package://spryped rev03/meshes/right toe.STL,,TOE REV01-5;59935K820_METRIC BALL-10,Coordinate System8,Axis8,8,revolute,-0.0339000000000053,-0.105453933613821,-0.488752972251687,0,0,0,right tarsometatarsus,-1,0,0,0,0,0,0,,,,,,,,
